Place	District	State/Union
Bombooflat	Andamans	Andaman & Nicobar Islands *
Garacharma	Andamans	Andaman & Nicobar Islands *
Port Blair	Andamans	Andaman & Nicobar Islands *
Adilabad	Adilabad	Andhra Pradesh
Adoni	Kurnool	Andhra Pradesh
Akkarampalle	Chittoor	Andhra Pradesh
Akkayapalle	Cuddapah	Andhra Pradesh
Alwal	Rangareddi	Andhra Pradesh
Amadalavalasa	Srikakulam	Andhra Pradesh
Amalapuram	East Godavari	Andhra Pradesh
Anakapalle	Visakhapatnam	Andhra Pradesh
Anantapur	Anantapur	Andhra Pradesh
Asifabad	Adilabad	Andhra Pradesh
Badepalle	Mahbubnagar	Andhra Pradesh
Bandarulanka	East Godavari	Andhra Pradesh
Bapatla	Guntur	Andhra Pradesh
Bellampalle	Adilabad	Andhra Pradesh
Bestavaripeta	Prakasam	Andhra Pradesh
Bethamcheria	Kurnool	Andhra Pradesh
Bhadrachalam	Khammam	Andhra Pradesh
Bhainsa	Adilabad	Andhra Pradesh
Bheemavaram	West Godavari	Andhra Pradesh
Bheemunipatnam	Visakhapatnam	Andhra Pradesh
Bhongir	Nalgonda	Andhra Pradesh
Bobbili	Vizianagaram	Andhra Pradesh
Bodhan	Nizamabad	Andhra Pradesh
Bollaram	Medak	Andhra Pradesh
Bugganipalle	Kurnool	Andhra Pradesh
Chandur	Nalgonda	Andhra Pradesh
Chatakonda	Khammam	Andhra Pradesh
Chemmumiahpet	Cuddapah	Andhra Pradesh
Chilakaluripet	Guntur	Andhra Pradesh
Chinnachowk	Cuddapah	Andhra Pradesh
Chintalavalasa	Vizianagaram	Andhra Pradesh
Chirala	Prakasam	Andhra Pradesh
Chittoor	Chittoor	Andhra Pradesh
Choutuppal	Nalgonda	Andhra Pradesh
Chunchupalle	Khammam	Andhra Pradesh
Cuddapah	Cuddapah	Andhra Pradesh
Dasnapur	Adilabad	Andhra Pradesh
Devarakonda	Nalgonda	Andhra Pradesh
Dharmavaram	Anantapur	Andhra Pradesh
Dommara Nandyal	Cuddapah	Andhra Pradesh
Dowleswaram	East Godavari	Andhra Pradesh
Eddumailaram	Medak	Andhra Pradesh
Ekambara kuppam	Chittoor	Andhra Pradesh
Eluru	West Godavari	Andhra Pradesh
Farooqnagar	Mahbubnagar	Andhra Pradesh
Gaddi annaram	Rangareddi	Andhra Pradesh
Gadwal	Mahbubnagar	Andhra Pradesh
Gajapathinagaram	Vizianagaram	Andhra Pradesh
Gajularega	Vizianagaram	Andhra Pradesh
Gajuwaka	Visakhapatnam	Andhra Pradesh
Ghatkeser	Rangareddi	Andhra Pradesh
Gooty	Anantapur	Andhra Pradesh
Gudivada	Visakhapatnam	Andhra Pradesh
Gudivada	Krishna	Andhra Pradesh
Gudur	Nellore	Andhra Pradesh
Guntakal	Anantapur	Andhra Pradesh
Guntur	Guntur	Andhra Pradesh
Hindupur	Anantapur	Andhra Pradesh
Hyderabad M.Corp	Hyderabad and Rangareddi	Andhra Pradesh
Ichchapuram	Srikakulam	Andhra Pradesh
Isnapur	Medak	Andhra Pradesh
Jaggayyapet	Krishna	Andhra Pradesh
Jagtial	Karimnagar	Andhra Pradesh
Jallaram Kamanpur	Karimnagar	Andhra Pradesh
Jammalamadugu	Cuddapah	Andhra Pradesh
Jangaon	Warangal	Andhra Pradesh
Jarjapupeta	Vizianagaram	Andhra Pradesh
Kadiri	Anantapur	Andhra Pradesh
Kaghaznagar	Adilabad	Andhra Pradesh
Kakinada	East Godavari	Andhra Pradesh
Kallur	Kurnool	Andhra Pradesh
Kalyandurg	Anantapur	Andhra Pradesh
Kamareddy	Nizamabad	Andhra Pradesh
Kanapaka	Vizianagaram	Andhra Pradesh
Kandukur	Prakasam	Andhra Pradesh
Kantabamsuguda	Visakhapatnam	Andhra Pradesh
Kanuru	Krishna	Andhra Pradesh
Kapra	Rangareddi	Andhra Pradesh
Karimnagar	Karimnagar	Andhra Pradesh
Kavali	Nellore	Andhra Pradesh
Khammam	Khammam	Andhra Pradesh
Koratla	Karimnagar	Andhra Pradesh
Kothagudem	Khammam	Andhra Pradesh
Kothavalasa	Vizianagaram	Andhra Pradesh
Kovurpalle	Nellore	Andhra Pradesh
Kovvur	West Godavari	Andhra Pradesh
Kukatpalle	Rangareddi	Andhra Pradesh
Kuppam	Chittoor	Andhra Pradesh
Kurnool	Kurnool	Andhra Pradesh
Kyathampalle	Adilabad	Andhra Pradesh
L.B. Nagar	Rangareddi	Andhra Pradesh
Macherla	Guntur	Andhra Pradesh
Machilipatnam	Krishna	Andhra Pradesh
Madanapalle	Chittoor	Andhra Pradesh
Madaram	Adilabad	Andhra Pradesh
Mahbubnagar	Mahbubnagar	Andhra Pradesh
Malkajgiri	Rangareddi	Andhra Pradesh
Mancherial	Adilabad	Andhra Pradesh
Mandamarri	Adilabad	Andhra Pradesh
Mandapeta	East Godavari	Andhra Pradesh
Mangalagiri	Guntur	Andhra Pradesh
Manugur	Khammam	Andhra Pradesh
Markapur	Prakasam	Andhra Pradesh
Medak	Medak	Andhra Pradesh
Meerpet	Rangareddi	Andhra Pradesh
Miryalguda	Nalgonda	Andhra Pradesh
Moragudi	Cuddapah	Andhra Pradesh
Nagari	Chittoor	Andhra Pradesh
Nagarkurnool	Mahbubnagar	Andhra Pradesh
Nalgonda	Nalgonda	Andhra Pradesh
Nandyal	Kurnool	Andhra Pradesh
Narasaraopet	Guntur	Andhra Pradesh
Narayanavanam	Chittoor	Andhra Pradesh
Narayanpet	Mahbubnagar	Andhra Pradesh
Narsapur	West Godavari	Andhra Pradesh
Narsingi	Rangareddi	Andhra Pradesh
Narsipatnam	Visakhapatnam	Andhra Pradesh
Naspur	Adilabad	Andhra Pradesh
Nellimaria	Vizianagaram	Andhra Pradesh
Nellore	Nellore	Andhra Pradesh
Nidadavole	West Godavari	Andhra Pradesh
Nirmal	Adilabad	Andhra Pradesh
Nizamabad	Nizamabad	Andhra Pradesh
Nuzvid	Krishna	Andhra Pradesh
Omerkhan daira	Rangareddi	Andhra Pradesh
Ongole	Prakasam	Andhra Pradesh
Osmania University	Hyderabad	Andhra Pradesh
Palacole	West Godavari	Andhra Pradesh
Palakurthi	Karimnagar	Andhra Pradesh
Palasa @ Kasibugga	Srikakulam	Andhra Pradesh
Palwancha	Khammam	Andhra Pradesh
Pamur	Prakasam	Andhra Pradesh
Papampeta	Anantapur	Andhra Pradesh
Parvathipuram	Vizianagaram	Andhra Pradesh
Patancheru	Medak	Andhra Pradesh
Pedana	Krishna	Andhra Pradesh
Peddapuram	East Godavari	Andhra Pradesh
Pitapuram	East Godavari	Andhra Pradesh
Ponnur	Guntur	Andhra Pradesh
Proddatur	Cuddapah	Andhra Pradesh
Punganur	Chittoor	Andhra Pradesh
Puttur	Chittoor	Andhra Pradesh
Quthbullapur	Rangareddi	Andhra Pradesh
Rajahmundry	East Godavari	Andhra Pradesh
Rajam	Srikakulam	Andhra Pradesh
Rajendranagar	Rangareddi	Andhra Pradesh
Ramachandrapuram	Medak	Andhra Pradesh
Ramachandrapuram	East Godavari	Andhra Pradesh
Ramachandrapuram-Bhel Township )	Medak	Andhra Pradesh
Ramagundam	Karimnagar	Andhra Pradesh
Ramanayyapeta	East Godavari	Andhra Pradesh
Ramapuram	Kurnool	Andhra Pradesh
Rameswaram	Cuddapah	Andhra Pradesh
Rampachodavaram	East Godavari	Andhra Pradesh
Rayachoti	Cuddapah	Andhra Pradesh
Rayadurg	Anantapur	Andhra Pradesh
Renigunta	Chittoor	Andhra Pradesh
Repalle	Guntur	Andhra Pradesh
Sadasivpet	Medak	Andhra Pradesh
Salur	Vizianagaram	Andhra Pradesh
Samalkota	East Godavari	Andhra Pradesh
Sangareddy	Medak	Andhra Pradesh
Sarapaka	Khammam	Andhra Pradesh
Sattenapalle	Guntur	Andhra Pradesh
Secunderabad	Hyderabad	Andhra Pradesh
Serilingampalle	Rangareddi	Andhra Pradesh
Siddipet	Medak	Andhra Pradesh
Singapur	Adilabad	Andhra Pradesh
Singarayakonda	Prakasam	Andhra Pradesh
Sirsilla	Karimnagar	Andhra Pradesh
Sompeta	Srikakulam	Andhra Pradesh
Srikakulam	Srikakulam	Andhra Pradesh
Srikalahasti	Chittoor	Andhra Pradesh
Sriramnagar	Vizianagaram	Andhra Pradesh
Srisailam  Project (RFC) Township	Kurnool	Andhra Pradesh
Srisailamgudem Devasthanam	Kurnool	Andhra Pradesh
Suryapet	Nalgonda	Andhra Pradesh
Suryaraopeta	East Godavari	Andhra Pradesh
Tadepalligudem	West Godavari	Andhra Pradesh
Tadpatri	Anantapur	Andhra Pradesh
Tallapalle	Adilabad	Andhra Pradesh
Tandur	Rangareddi	Andhra Pradesh
Tanuku	West Godavari	Andhra Pradesh
Teegalapahad	Adilabad	Andhra Pradesh
Tenali	Guntur	Andhra Pradesh
Tiruchanur	Chittoor	Andhra Pradesh
Tirumala	Chittoor	Andhra Pradesh
Tirupati	Chittoor	Andhra Pradesh
Tirupati (NMA)	Chittoor	Andhra Pradesh
Tuni	East Godavari	Andhra Pradesh
Uppal Kalan	Rangareddi	Andhra Pradesh
Upper Sileru Project Site Camp	Visakhapatnam	Andhra Pradesh
Uravakonda	Anantapur	Andhra Pradesh
Vaparala	Cuddapah	Andhra Pradesh
Venkatagiri	Nellore	Andhra Pradesh
Vepagunta	Visakhapatnam	Andhra Pradesh
Vetapalem	Prakasam	Andhra Pradesh
Vicarabad	Rangareddi	Andhra Pradesh
Vijayapuri (North)	Nalgonda	Andhra Pradesh
Vijayawada	Krishna	Andhra Pradesh
Vinukonda	Guntur	Andhra Pradesh
Visakhapatnam	Visakhapatnam	Andhra Pradesh
Vizianagaram	Vizianagaram	Andhra Pradesh
Wanaparthi	Mahbubnagar	Andhra Pradesh
Warangal	Warangal	Andhra Pradesh
Yadagirigutta	Nalgonda	Andhra Pradesh
Yellandu	Khammam	Andhra Pradesh
Yemmiganur	Kurnool	Andhra Pradesh
Yerraguntla	Cuddapah	Andhra Pradesh
Zahirabad	Medak	Andhra Pradesh
Along	West Siang	Arunachal Pradesh
Basar	West Siang	Arunachal Pradesh
Bomdila	West Kameng	Arunachal Pradesh
Changlang	Changlang	Arunachal Pradesh
Daporijo	Upper Subansiri	Arunachal Pradesh
Deomali	Tirap	Arunachal Pradesh
Itanagar	Papum Pare	Arunachal Pradesh
Jairampur	Changlang	Arunachal Pradesh
Khonsa	Tirap	Arunachal Pradesh
Naharlagun	Papum Pare	Arunachal Pradesh
Namsai	Lohit	Arunachal Pradesh
Pasighat	East Siang	Arunachal Pradesh
Roing	Dibang Valley	Arunachal Pradesh
Seppa	East Kameng	Arunachal Pradesh
Tawang	Tawang	Arunachal Pradesh
Tezu	Lohit	Arunachal Pradesh
Ziro	Lower Subansiri	Arunachal Pradesh
Abhayapuri	Bongaigaon	Assam
Ambikapur Part-X	Cachar	Assam
Amguri	Sibsagar	Assam
Anand Nagar	Dhubri	Assam
Badarpur	Karimganj	Assam
Badarpur Rly Town	Karimganj	Assam
Bahbari Gaon	Tinsukia	Assam
Bamun Sualkuchi	Kamrup	Assam
Barbari (AMC Area)	Dibrugarh	Assam
Barpathar	Golaghat	Assam
Barpeta	Barpeta	Assam
Barpeta Road	Barpeta	Assam
Basugaon	Kokrajhar	Assam
Bihpuria	Lakhimpur	Assam
Bijni	Bongaigaon	Assam
Bilasipara	Dhubri	Assam
